sku_id,description,analysis_weeks,positive_demand_weeks,zero_demand_week_pct,mean_weekly_demand,std_weekly_demand,coefficient_of_variation,average_demand_interval_weeks,lag_1_autocorrelation,first_13_week_average,last_13_week_average,trend_slope_units_per_week,recent_vs_initial_13_week_change_pct
22895,SET OF 2 TEA TOWELS APPLE AND PEARS,104,63,39.42,37.77,105.19,2.785,1.65,0.174,0.00,37.31,0.342,
22896,PEG BAG APPLES DESIGN,104,62,40.38,21.72,36.40,1.676,1.68,0.394,0.00,16.46,0.300,
22897,OVEN MITT APPLES DESIGN,104,62,40.38,20.63,31.97,1.550,1.68,0.580,0.00,33.85,0.320,
22898,CHILDRENS APRON APPLES DESIGN,104,62,40.38,31.60,42.12,1.333,1.68,0.523,0.00,62.69,0.670,
22899,CHILDREN'S APRON DOLLY GIRL,104,61,41.35,25.74,35.98,1.398,1.70,0.362,0.00,55.00,0.572,
22900,SET 2 TEA TOWELS I LOVE LONDON,104,62,40.38,58.90,91.68,1.556,1.68,0.398,0.00,82.00,1.151,
22902,TOTE BAG I LOVE LONDON,104,58,44.23,18.39,32.40,1.762,1.79,0.226,0.00,25.77,0.296,
22903,CALENDAR FAMILY FAVOURITES,104,37,64.42,7.10,27.72,3.906,2.81,0.381,0.00,6.15,0.024,
22904,CALENDAR PAPER CUT DESIGN,104,60,42.31,33.34,59.88,1.796,1.73,0.569,0.00,41.62,0.450,
22905,CALENDAR IN SEASON DESIGN,104,48,53.85,9.50,22.25,2.342,2.17,0.307,0.00,22.38,0.148,
22906,12 MESSAGE CARDS WITH ENVELOPES,104,61,41.35,31.17,54.67,1.754,1.70,0.705,0.00,37.85,0.365,
22907,PACK OF 20 NAPKINS PANTRY DESIGN,104,63,39.42,82.25,101.36,1.232,1.65,0.595,0.00,106.15,1.629,
22908,PACK OF 20 NAPKINS RED APPLES,104,61,41.35,53.68,85.38,1.591,1.70,0.420,0.00,49.00,0.894,
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,104,51,50.96,169.62,319.59,1.884,2.04,0.778,0.00,477.69,2.805,
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,104,49,52.88,182.81,322.04,1.762,2.12,0.806,0.00,557.15,3.416,
22911,PAPER CHAIN KIT LONDON,104,54,48.08,8.14,17.27,2.120,1.93,0.314,0.00,11.92,0.105,
22912,YELLOW COAT RACK PARIS FASHION,104,46,55.77,3.01,7.90,2.623,2.26,0.165,0.00,2.85,0.065,
22913,RED COAT RACK PARIS FASHION,104,45,56.73,4.31,13.08,3.035,2.31,0.259,0.00,2.15,0.079,
22914,BLUE COAT RACK PARIS FASHION,104,50,51.92,5.43,13.62,2.506,2.08,0.339,0.00,3.08,0.101,
22915,ASSORTED BOTTLE TOP MAGNETS,104,48,53.85,27.28,49.14,1.801,2.17,0.321,0.00,47.69,0.683,
22916,HERB MARKER THYME,104,53,49.04,18.42,34.84,1.891,1.96,0.339,0.00,15.54,0.465,
22917,HERB MARKER ROSEMARY,104,52,50.00,18.80,35.55,1.891,2.00,0.338,0.00,16.54,0.474,
22918,HERB MARKER PARSLEY,104,52,50.00,18.06,34.44,1.907,2.00,0.337,0.00,15.85,0.461,
22919,HERB MARKER MINT,104,51,50.96,16.99,29.78,1.753,2.04,0.534,0.00,14.31,0.411,
22920,HERB MARKER BASIL,104,48,53.85,33.04,158.21,4.789,2.17,0.032,0.00,14.85,0.893,
22921,HERB MARKER CHIVES,104,48,53.85,16.71,33.35,1.996,2.17,0.322,0.00,16.85,0.433,
22922,FRIDGE MAGNETS US DINER ASSORTED,104,41,60.58,19.64,38.95,1.983,2.54,0.473,0.00,35.77,0.436,
22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,104,38,63.46,14.82,30.87,2.083,2.74,0.239,0.00,27.92,0.377,
22924,FRIDGE MAGNETS LA VIE EN ROSE,104,42,59.62,13.96,30.01,2.150,2.48,0.183,0.00,36.00,0.387,
22925,AMAZON,104,48,53.85,4.71,8.67,1.840,2.17,0.544,0.00,5.08,0.112,
22926,IVORY GIANT GARDEN THERMOMETER,104,25,75.96,6.54,14.88,2.275,4.16,0.631,0.00,0.00,0.071,
22927,GREEN GIANT GARDEN THERMOMETER,104,41,60.58,4.49,8.84,1.968,2.54,0.479,0.00,1.92,0.094,
22928,YELLOW GIANT GARDEN THERMOMETER,104,41,60.58,2.72,6.49,2.384,2.54,0.374,0.00,7.92,0.091,
22929,SCHOOL DESK AND CHAIR,104,12,88.46,0.22,0.72,3.271,8.67,-0.003,0.00,0.46,0.005,
22930,BAKING MOULD HEART MILK CHOCOLATE,104,48,53.85,10.51,24.62,2.343,2.17,0.244,0.00,14.31,0.221,
22931,BAKING MOULD HEART WHITE CHOCOLATE,104,40,61.54,7.67,22.70,2.958,2.60,0.369,0.00,3.69,0.099,
22932,BAKING MOULD TOFFEE CUP CHOCOLATE,104,37,64.42,8.35,28.75,3.445,2.81,0.036,0.00,2.54,0.124,
22933,BAKING MOULD EASTER EGG MILK CHOC,104,25,75.96,9.02,33.79,3.747,4.16,0.253,0.00,0.31,0.117,
22934,BAKING MOULD EASTER EGG WHITE CHOC,104,25,75.96,5.66,15.51,2.738,4.16,0.501,0.00,0.69,0.071,
22935,BAKING MOULD ROSE MILK CHOCOLATE,104,34,67.31,6.58,18.63,2.833,3.06,0.227,0.00,1.69,0.104,
22936,BAKING MOULD ROSE WHITE CHOCOLATE,104,28,73.08,2.62,10.63,4.048,3.71,0.089,0.00,1.38,0.043,
22937,BAKING MOULD CHOCOLATE CUPCAKES,104,40,61.54,9.21,18.57,2.016,2.60,0.503,0.00,8.23,0.159,
22938,CUPCAKE LACE PAPER SET 6,104,60,42.31,35.42,54.20,1.530,1.73,0.477,0.00,50.38,0.593,
22939,ADULT APRON APPLE DELIGHT,104,54,48.08,6.73,13.45,1.999,1.93,0.521,0.00,8.46,0.100,
22940,FELTCRAFT CHRISTMAS FAIRY,104,47,54.81,33.29,62.61,1.881,2.21,0.524,0.00,87.54,0.645,
22941,CHRISTMAS LIGHTS 10 REINDEER,104,31,70.19,24.02,61.77,2.572,3.35,0.384,0.00,97.31,0.626,
22942,CHRISTMAS LIGHTS 10 SANTAS,104,24,76.92,10.62,29.36,2.766,4.33,0.653,0.00,32.62,0.175,
22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,104,39,62.50,22.98,59.75,2.600,2.67,0.443,0.00,73.23,0.424,
22944,CHRISTMAS METAL POSTCARD WITH BELLS,104,29,72.12,45.79,116.58,2.546,3.59,0.651,0.00,246.85,1.476,
22945,CHRISTMAS METAL TAGS ASSORTED,104,44,57.69,73.36,152.92,2.085,2.36,0.742,0.00,150.69,0.937,
22946,WOODEN ADVENT CALENDAR CREAM,104,43,58.65,9.37,19.63,2.096,2.42,0.541,0.00,22.31,0.153,
22947,UNKNOWN,104,33,68.27,9.77,27.04,2.767,3.15,0.770,0.00,54.69,0.352,
22948,METAL DECORATION NAUGHTY CHILDREN,104,55,47.12,20.42,29.92,1.465,1.89,0.419,0.00,33.15,0.413,
22949,SET OF 36 DOLLY GIRL PAPER DOILIES,104,56,46.15,19.32,55.62,2.879,1.86,0.106,0.00,16.77,0.126,
22950,36 DOILIES VINTAGE CHRISTMAS,104,31,70.19,90.24,227.72,2.523,3.35,0.669,0.00,221.77,1.728,
22951,60 CAKE CASES DOLLY GIRL DESIGN,104,63,39.42,105.04,141.96,1.351,1.65,0.343,0.00,189.08,1.930,
22952,60 CAKE CASES VINTAGE CHRISTMAS,104,50,51.92,321.49,607.81,1.891,2.08,0.710,0.00,891.54,5.340,
22953,BIRTHDAY PARTY CORDON BARRIER TAPE,104,45,56.73,7.30,19.01,2.605,2.31,0.245,0.00,7.15,0.106,
22954,HEN PARTY CORDON BARRIER TAPE,104,35,66.35,2.29,5.27,2.305,2.97,0.067,0.00,2.77,0.054,
22955,36 FOIL STAR CAKE CASES,104,47,54.81,14.74,35.16,2.385,2.21,0.150,0.00,33.00,0.346,
22956,36 FOIL HEART CAKE CASES,104,54,48.08,23.47,46.79,1.993,1.93,0.129,0.00,26.08,0.482,
22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,104,17,83.65,17.07,46.92,2.749,6.12,0.735,0.00,0.46,0.212,
22959,WRAP CHRISTMAS VILLAGE,104,33,68.27,92.67,191.20,2.063,3.15,0.770,0.00,311.62,1.907,
22960,JAM MAKING SET WITH JARS,104,53,49.04,85.69,110.42,1.289,1.96,0.570,0.00,195.38,2.420,
22961,JAM MAKING SET PRINTED,104,55,47.12,157.90,211.64,1.340,1.89,0.628,0.00,367.62,4.312,
22962,JAM JAR WITH PINK LID,104,52,50.00,42.61,83.97,1.971,2.00,0.314,0.00,57.54,0.814,
22963,JAM JAR WITH GREEN LID,104,55,47.12,36.29,70.18,1.934,1.89,0.352,0.00,43.69,0.693,
22964,3 PIECE SPACEBOY COOKIE CUTTER SET,104,54,48.08,25.72,48.47,1.884,1.93,0.289,0.00,53.31,0.642,
22965,3 TRADITIONAl BISCUIT CUTTERS SET,104,54,48.08,17.56,39.90,2.272,1.93,0.415,0.00,29.38,0.372,
22966,GINGERBREAD MAN COOKIE CUTTER,104,51,50.96,77.02,117.23,1.522,2.04,0.482,0.00,211.38,2.156,
22967,SET 3 SONG BIRD PAPER EGGS ASSORTED,104,18,82.69,11.20,33.87,3.024,5.78,0.438,0.00,0.00,0.141,
22968,ROSE COTTAGE KEEPSAKE BOX,104,50,51.92,11.09,23.49,2.119,2.08,0.510,0.00,4.31,0.122,
22969,HOMEMADE JAM SCENTED CANDLES,104,54,48.08,137.57,250.92,1.824,1.93,0.344,0.00,262.46,3.166,
22970,LONDON BUS COFFEE MUG,104,49,52.88,41.00,75.10,1.832,2.12,0.432,0.00,74.00,1.132,
22971,QUEENS GUARD COFFEE MUG,104,49,52.88,23.10,36.78,1.593,2.12,0.446,0.00,37.92,0.621,
22972,CHILDREN'S SPACEBOY MUG,104,49,52.88,17.80,26.88,1.511,2.12,0.498,0.00,33.85,0.437,
22973,CHILDREN'S CIRCUS PARADE MUG,104,50,51.92,12.47,21.76,1.745,2.08,0.406,0.00,20.85,0.280,
22974,CHILDRENS DOLLY GIRL MUG,104,49,52.88,15.67,28.12,1.794,2.12,0.292,0.00,24.00,0.338,
22975,SPACEBOY CHILDRENS EGG CUP,104,48,53.85,11.81,18.16,1.538,2.17,0.514,0.00,16.08,0.269,
22976,CIRCUS PARADE CHILDRENS EGG CUP,104,48,53.85,10.59,16.92,1.599,2.17,0.629,0.00,11.85,0.209,
22977,DOLLY GIRL CHILDRENS EGG CUP,104,42,59.62,9.57,18.00,1.882,2.48,0.444,0.00,8.46,0.173,
22978,PANTRY ROLLING PIN,104,42,59.62,23.62,78.12,3.307,2.48,0.083,0.00,77.08,0.837,
22979,PANTRY WASHING UP BRUSH,104,40,61.54,38.84,90.27,2.324,2.60,0.254,0.00,111.23,1.339,
22980,PANTRY SCRUBBING BRUSH,104,41,60.58,22.65,44.96,1.985,2.54,0.827,0.00,30.62,0.615,
22981,PANTRY APPLE CORER,104,34,67.31,4.48,16.48,3.678,3.06,0.123,0.00,7.31,0.140,
22982,PANTRY PASTRY BRUSH,104,39,62.50,10.87,20.99,1.932,2.67,0.681,0.00,19.54,0.318,
22983,CARD BILLBOARD FONT,104,63,39.42,63.62,78.85,1.239,1.65,0.391,0.00,112.77,1.364,
22984,CARD GINGHAM ROSE,104,62,40.38,32.08,45.95,1.433,1.68,0.347,0.00,52.23,0.732,
22985,WRAP BILLBOARD FONTS DESIGN,104,57,45.19,45.16,94.75,2.098,1.82,0.139,0.00,44.23,0.754,
22986,WRAP GINGHAM ROSE,104,61,41.35,54.76,75.65,1.381,1.70,0.399,0.00,76.92,1.009,
22987,WRAP SUMMER ROSE DESIGN,104,11,89.42,2.42,7.40,3.055,9.45,0.223,0.00,0.15,0.024,
22988,SOLDIERS EGG CUP,104,45,56.73,86.30,151.88,1.760,2.31,0.307,0.00,172.92,2.453,
22989,SET 2 PANTRY DESIGN TEA TOWELS,104,44,57.69,26.71,56.74,2.124,2.36,0.328,0.00,42.54,0.783,
22990,COTTON APRON PANTRY DESIGN,104,44,57.69,5.04,12.70,2.521,2.36,0.280,0.00,7.85,0.131,
22991,GIRAFFE WOODEN RULER,104,41,60.58,36.80,87.94,2.390,2.54,0.405,0.00,117.85,1.368,
22992,REVOLVER WOODEN RULER,104,41,60.58,49.63,106.75,2.151,2.54,0.447,0.00,172.54,1.899,
22993,SET OF 4 PANTRY JELLY MOULDS,104,42,59.62,117.71,166.91,1.418,2.48,0.739,0.00,318.46,4.085,
22994,TRAVEL CARD WALLET RETROSPOT,104,42,59.62,20.28,33.19,1.637,2.48,0.635,0.00,60.62,0.690,
22995,TRAVEL CARD WALLET SUKI,104,42,59.62,22.41,37.79,1.686,2.48,0.469,0.00,46.31,0.717,
22996,TRAVEL CARD WALLET VINTAGE TICKET,104,42,59.62,45.29,81.37,1.797,2.48,0.391,0.00,115.85,1.531,
22997,TRAVEL CARD WALLET UNION JACK,104,41,60.58,24.17,36.02,1.490,2.54,0.596,0.00,67.46,0.857,
22998,TRAVEL CARD WALLET KEEP CALM,104,42,59.62,117.38,201.24,1.714,2.48,0.481,0.00,346.54,4.267,
22999,TRAVEL CARD WALLET VINTAGE LEAF,104,42,59.62,27.17,57.53,2.117,2.48,0.288,0.00,58.08,0.881,
23000,TRAVEL CARD WALLET TRANSPORT,104,42,59.62,29.90,44.66,1.493,2.48,0.647,0.00,84.92,1.041,
23001,TRAVEL CARD WALLET DOTCOMGIFTSHOP,104,1,99.04,1.92,19.61,10.198,104.00,-0.010,0.00,0.00,0.065,
23002,TRAVEL CARD WALLET SKULLS,104,42,59.62,19.76,37.03,1.874,2.48,0.317,0.00,68.08,0.722,
23003,TRAVEL CARD WALLET VINTAGE ROSE,104,16,84.62,5.21,21.81,4.185,6.50,0.079,0.00,0.00,0.105,
23004,TRAVEL CARD WALLET PANTRY,104,42,59.62,18.45,28.60,1.550,2.48,0.629,0.00,55.46,0.669,
23005,TRAVEL CARD WALLET I LOVE LONDON,104,27,74.04,44.96,105.15,2.339,3.85,0.574,0.00,204.85,2.012,
23006,TRAVEL CARD WALLET FLOWER MEADOW,104,41,60.58,16.87,29.90,1.773,2.54,0.479,0.00,39.38,0.519,
23007,SPACEBOY BABY GIFT SET,104,37,64.42,4.69,9.52,2.028,2.81,0.538,0.00,13.31,0.154,
23008,DOLLY GIRL BABY GIFT SET,104,36,65.38,4.13,9.06,2.192,2.89,0.447,0.00,8.31,0.124,
23009,I LOVE LONDON BABY GIFT SET,104,37,64.42,2.48,5.27,2.124,2.81,0.288,0.00,9.38,0.095,
23010,CIRCUS PARADE BABY GIFT SET,104,35,66.35,3.03,7.27,2.400,2.97,0.590,0.00,6.46,0.092,
23012,GLASS APOTHECARY BOTTLE PERFUME,104,25,75.96,10.08,20.40,2.024,4.16,0.881,0.00,55.08,0.466,
23013,GLASS APOTHECARY BOTTLE TONIC,104,25,75.96,8.71,17.97,2.063,4.16,0.796,0.00,47.85,0.403,
23014,GLASS APOTHECARY BOTTLE ELIXIR,104,24,76.92,8.13,16.69,2.052,4.33,0.740,0.00,40.15,0.363,
23015,CORDIAL GLASS JUG,104,14,86.54,0.38,1.26,3.267,7.43,0.452,0.00,0.85,0.016,
23016,GLASS TWIST BON BON JAR,104,14,86.54,0.69,2.18,3.151,7.43,0.277,0.00,3.77,0.031,
23017,APOTHECARY MEASURING JAR,104,16,84.62,0.62,1.86,3.015,6.50,0.249,0.00,2.69,0.026,
23018,LARGE APOTHECARY MEASURING JAR,104,13,87.50,0.49,1.89,3.844,8.00,0.095,0.00,1.38,0.020,
23019,SMALL APOTHECARY MEASURING JAR,104,17,83.65,0.77,2.38,3.097,6.12,0.277,0.00,2.54,0.032,
23020,GLASS SONGBIRD STORAGE JAR,104,25,75.96,1.71,3.96,2.314,4.16,0.609,0.00,6.23,0.073,
23021,GLASS BONNE JAM JAR,104,15,85.58,1.12,3.67,3.294,6.93,0.326,0.00,5.38,0.049,
23022,SMALL BONNE JAM JAR T-LIGHT HOLDER,104,14,86.54,3.93,14.25,3.624,7.43,0.117,0.00,14.69,0.165,
23023,RIDGED BONNE JAM JAR T-LIGHT HOLDER,104,14,86.54,2.58,8.37,3.250,7.43,0.192,0.00,10.85,0.114,
23024,LARGE BONNE JAM JAR T-LIGHT HOLDER,104,9,91.35,2.45,12.06,4.919,11.56,0.023,0.00,8.62,0.099,
23025,DRAWER KNOB VINTAGE GLASS BALL,104,20,80.77,3.37,8.56,2.543,5.20,0.598,0.00,18.69,0.152,
23026,DRAWER KNOB VINTAGE GLASS STAR,104,24,76.92,5.29,13.55,2.562,4.33,0.340,0.00,19.31,0.220,
23027,DRAWER KNOB VINTAGE GLASS HEXAGON,104,18,82.69,2.84,9.85,3.474,5.78,0.372,0.00,16.46,0.133,
23028,DRAWER KNOB CRACKLE GLAZE BLUE,104,21,79.81,13.16,35.75,2.716,4.95,0.650,0.00,30.00,0.501,
23029,DRAWER KNOB CRACKLE GLAZE GREEN,104,25,75.96,12.75,27.35,2.145,4.16,0.707,0.00,51.92,0.540,
23031,DRAWER KNOB CRACKLE GLAZE PINK,104,25,75.96,12.07,26.24,2.175,4.16,0.702,0.00,55.00,0.521,
23032,DRAWER KNOB CRACKLE GLAZE IVORY,104,24,76.92,22.38,48.95,2.187,4.33,0.669,0.00,90.85,0.945,
23033,DRAWER KNOB CERAMIC RED,104,24,76.92,6.86,20.62,3.008,4.33,0.292,0.00,34.15,0.305,
23034,DRAWER KNOB CERAMIC BLACK,104,24,76.92,9.37,24.26,2.591,4.33,0.462,0.00,40.23,0.400,
23035,DRAWER KNOB CERAMIC IVORY,104,25,75.96,20.59,44.71,2.172,4.16,0.654,0.00,84.23,0.900,
23036,T-LIGHT HOLDER SILVER PETIT FOUR,104,12,88.46,1.65,5.80,3.507,8.67,0.181,0.00,8.62,0.078,
23037,CANDLE HOLDER SILVER MADELINE,104,11,89.42,1.76,6.17,3.504,9.45,0.127,0.00,8.54,0.080,
23038,T-LIGHT HOLDER SILVER SAUCER,104,6,94.23,0.39,2.04,5.164,17.33,0.299,0.00,0.38,0.016,
23039,T-LIGHT HOLDER SILVER HEART HANDLE,104,13,87.50,1.86,6.46,3.483,8.00,0.422,0.00,9.00,0.086,
23040,PAPER LANTERN 9 POINT SNOW STAR,104,20,80.77,2.28,12.34,5.416,5.20,0.088,0.00,15.62,0.107,
23041,PAPER LANTERN 9 POINT SNOW STAR,104,24,76.92,2.51,6.56,2.616,4.33,0.488,0.00,13.85,0.112,
23042,PAPER LANTERN 7 POINT SNOW STAR,104,17,83.65,0.97,3.10,3.194,6.12,0.365,0.00,5.85,0.044,
23043,PAPER LANTERN 9 POINT HOLLY STAR L,104,12,88.46,0.74,2.54,3.434,8.67,0.545,0.00,4.77,0.034,
23044,PAPER LANTERN 9 POINT HOLLY STAR S,104,17,83.65,0.97,3.07,3.158,6.12,0.122,0.00,4.62,0.040,
23045,PAPER LANTERN 5 POINT STAR MOON,104,15,85.58,1.12,4.24,3.764,6.93,0.289,0.00,7.38,0.052,
23046,PAPER LANTERN 9 POINT DELUXE STAR,104,20,80.77,3.34,24.21,7.257,5.20,0.043,0.00,24.23,0.159,
23047,PAPER LANTERN 5 POINT SEQUIN STAR,104,19,81.73,0.56,1.45,2.595,5.47,0.331,0.00,2.15,0.022,
23048,SET OF 10 LANTERNS FAIRY LIGHT STAR,104,28,73.08,5.49,21.93,3.994,3.71,0.146,0.00,33.38,0.250,
23049,RECYCLED ACAPULCO MAT RED,104,40,61.54,4.38,8.33,1.901,2.60,0.637,0.00,4.38,0.131,
23050,RECYCLED ACAPULCO MAT GREEN,104,39,62.50,4.74,8.15,1.719,2.67,0.790,0.00,4.85,0.145,
23051,RECYCLED ACAPULCO MAT BLUE,104,37,64.42,3.47,6.40,1.844,2.81,0.712,0.00,2.38,0.102,
23052,RECYCLED ACAPULCO MAT TURQUOISE,104,40,61.54,6.23,11.15,1.790,2.60,0.731,0.00,4.69,0.183,
23053,RECYCLED ACAPULCO MAT PINK,104,35,66.35,3.44,7.19,2.088,2.97,0.557,0.00,2.62,0.098,
23054,RECYCLED ACAPULCO MAT LAVENDER,104,34,67.31,2.80,5.12,1.831,3.06,0.768,0.00,2.08,0.082,
23055,IVORY CHANDELIER T-LIGHT HOLDER,104,21,79.81,6.32,36.84,5.831,4.95,-0.022,0.00,46.38,0.320,
23056,FLOWERS CHANDELIER T-LIGHT HOLDER,104,23,77.88,9.26,61.05,6.593,4.52,-0.015,0.00,67.92,0.465,
23057,BEADED CHANDELIER T-LIGHT HOLDER,104,23,77.88,7.43,37.18,5.002,4.52,-0.027,0.00,47.92,0.350,
23058,CHRISTMAS HANGING SNOWFLAKE,104,12,88.46,4.11,15.73,3.831,8.67,0.621,0.00,32.85,0.219,
23060,HEART BEADED TRELLIS DECORATION,104,21,79.81,2.20,5.97,2.711,4.95,0.127,0.00,8.92,0.088,
23061,VINTAGE EMBOSSED HEART,104,32,69.23,9.58,17.89,1.868,3.25,0.713,0.00,22.00,0.347,
23064,CINDERELLA CHANDELIER,104,16,84.62,2.12,12.52,5.890,6.50,0.469,0.00,15.31,0.105,
23065,LARGE DECO JEWELLERY STAND,104,28,73.08,2.62,7.05,2.687,3.71,0.329,0.00,4.31,0.090,
23066,SMALL DECO JEWELLERY STAND,104,24,76.92,2.49,7.39,2.967,4.33,0.305,0.00,3.92,0.085,
23067,HANGING ENGRAVED METAL HEART,104,30,71.15,2.81,6.43,2.289,3.47,0.515,0.00,9.46,0.107,
23068,ALUMINIUM STAMPED HEART,104,33,68.27,7.69,15.97,2.076,3.15,0.557,0.00,26.08,0.292,
23069,EDWARDIAN PHOTO FRAME,104,21,79.81,0.85,1.97,2.328,4.95,0.388,0.00,3.23,0.035,
23070,EDWARDIAN HEART PHOTO FRAME,104,24,76.92,1.53,3.63,2.371,4.33,0.360,0.00,5.77,0.062,
23071,MARIE ANTOINETTE TRINKET BOX GOLD,104,14,86.54,3.03,21.76,7.183,7.43,0.004,0.00,21.46,0.146,
23072,MARIE ANTOINETTE TRINKET BOX SILVER,104,16,84.62,3.21,23.98,7.467,6.50,0.007,0.00,24.23,0.160,
23073,GEORGIAN TRINKET BOX,104,25,75.96,1.38,3.95,2.876,4.16,0.175,0.00,6.31,0.057,
23074,EMBOSSED HEART TRINKET BOX,104,13,87.50,2.26,7.61,3.368,8.00,0.668,0.00,18.08,0.116,
23075,PARLOUR CERAMIC WALL HOOK,104,30,71.15,4.37,9.76,2.237,3.47,0.263,0.00,12.92,0.168,
23076,ICE CREAM SUNDAE LIP GLOSS,104,36,65.38,76.46,126.00,1.648,2.89,0.723,0.00,241.62,2.870,
23077,DOUGHNUT LIP GLOSS,104,37,64.42,95.48,165.42,1.732,2.81,0.759,0.00,399.00,3.929,
23078,ICE CREAM PEN LIP GLOSS,104,37,64.42,65.40,108.72,1.662,2.81,0.696,0.00,189.38,2.412,
23079,TOADSTOOL BEDSIDE LIGHT,104,29,72.12,2.37,4.99,2.109,3.59,0.593,0.00,8.92,0.097,
23080,RED METAL BOX TOP SECRET,104,30,71.15,8.12,19.98,2.462,3.47,0.659,0.00,44.23,0.374,
23081,GREEN METAL BOX ARMY SUPPLIES,104,30,71.15,4.43,11.70,2.640,3.47,0.351,0.00,24.62,0.200,
23082,SET 6 PAPER TABLE LANTERN HEARTS,104,30,71.15,21.53,42.81,1.988,3.47,0.679,0.00,94.54,0.910,
23083,SET 6 PAPER TABLE LANTERN STARS,104,29,72.12,17.76,42.90,2.416,3.59,0.782,0.00,112.54,0.852,
23084,RABBIT NIGHT LIGHT,104,30,71.15,273.75,910.66,3.327,3.47,0.650,0.00,1764.85,13.753,
23085,ANTIQUE SILVER BAUBLE LAMP,104,20,80.77,3.52,9.92,2.818,5.20,0.676,0.00,25.77,0.174,
23086,ZINC STAR T-LIGHT HOLDER,104,22,78.85,11.60,37.50,3.234,4.73,0.244,0.00,45.38,0.501,
23087,ZINC HEART T-LIGHT HOLDER,104,24,76.92,8.27,22.52,2.724,4.33,0.295,0.00,30.77,0.332,
23088,ZINC HEART FLOWER T-LIGHT HOLDER,104,25,75.96,7.35,18.93,2.576,4.16,0.411,0.00,20.85,0.277,
23089,GLASS BON BON JAR,104,30,71.15,22.04,60.46,2.743,3.47,0.266,0.00,89.31,0.915,
23090,VINTAGE GLASS T-LIGHT HOLDER,104,27,74.04,18.80,43.14,2.295,3.85,0.519,0.00,97.08,0.842,
23091,ZINC HERB GARDEN CONTAINER,104,27,74.04,5.60,12.44,2.223,3.85,0.838,0.00,8.38,0.191,
23092,LARGE ANTIQUE WHITE PHOTO FRAME,104,28,73.08,4.84,17.48,3.615,3.71,0.166,0.00,22.62,0.200,
23093,SMALL PARISIENNE HEART PHOTO FRAME,104,30,71.15,8.94,23.25,2.600,3.47,0.340,0.00,29.38,0.343,
23094,LE GRAND TRAY CHIC SET,104,29,72.12,1.46,3.52,2.406,3.59,0.418,0.00,3.38,0.054,
23096,PETIT TRAY CHIC,104,29,72.12,9.90,24.59,2.483,3.59,0.569,0.00,49.54,0.430,
23099,FRENCH CARRIAGE LANTERN,104,24,76.92,1.26,3.06,2.431,4.33,0.393,0.00,3.31,0.048,
23100,SILVER BELLS TABLE DECORATION,104,29,72.12,20.18,44.84,2.222,3.59,0.898,0.00,120.31,0.936,
23101,SILVER STARS TABLE DECORATION,104,27,74.04,19.38,44.69,2.306,3.85,0.739,0.00,115.62,0.894,
23102,SILVER HEARTS TABLE DECORATION,104,27,74.04,12.25,27.51,2.246,3.85,0.611,0.00,48.46,0.496,
23103,JINGLE BELL HEART DECORATION,104,30,71.15,38.33,81.62,2.130,3.47,0.845,0.00,207.62,1.723,
23104,IVORY CAFE HANGING LAMP,104,23,77.88,1.12,3.92,3.517,4.52,0.652,0.00,5.00,0.051,
23106,ZINC HEARTS PLANT POT HOLDER,104,24,76.92,2.58,6.00,2.327,4.33,0.343,0.00,6.46,0.098,
23107,WHITE HEARTS WIRE PLANT POT HOLDER,104,26,75.00,3.17,8.43,2.656,4.00,0.601,0.00,10.54,0.119,
23108,SET OF 10 LED DOLLY LIGHTS,104,30,71.15,20.92,58.78,2.809,3.47,0.227,0.00,98.92,0.871,
23109,PACK OF SIX LED TEA LIGHTS,104,29,72.12,21.28,44.91,2.111,3.59,0.720,0.00,103.69,0.936,
23110,PARISIENNE KEY CABINET,104,30,71.15,6.59,12.62,1.917,3.47,0.738,0.00,20.54,0.262,
23111,PARISIENNE SEWING BOX,104,29,72.12,2.65,7.18,2.707,3.59,0.429,0.00,10.62,0.106,
23112,PARISIENNE CURIO CABINET,104,30,71.15,5.02,9.34,1.860,3.47,0.743,0.00,14.46,0.193,
23113,PANTRY CHOPPING BOARD,104,12,88.46,11.02,94.66,8.591,8.67,0.006,0.00,88.15,0.516,
23114,VINTAGE LEAF CHOPPING BOARD,104,10,90.38,1.33,5.84,4.404,10.40,0.387,0.00,10.62,0.068,
23115,RED APPLES CHOPPING BOARD,104,10,90.38,1.40,5.45,3.881,10.40,0.514,0.00,11.23,0.074,
23116,VEGETABLE GARDEN CHOPPING BOARD,104,10,90.38,0.72,4.07,5.642,10.40,0.268,0.00,5.77,0.038,
23117,POPPY FIELDS CHOPPING BOARD,104,10,90.38,0.88,3.04,3.470,10.40,0.732,0.00,7.00,0.046,
23118,PARISIENNE JEWELLERY DRAWER,104,30,71.15,7.21,16.87,2.339,3.47,0.435,0.00,26.23,0.291,
23119,PACK OF 6 LARGE FRUIT STRAWS,104,25,75.96,21.87,62.18,2.844,4.16,0.834,0.00,46.46,0.840,
